,Var1,Month,Var2,Freq
1,Apr,4/1/15,2015,9
2,Aug,8/1/15,2015,46
3,Dec,12/1/15,2015,24
4,Feb,2/1/15,2015,6
5,Jan,1/1/15,2015,9
6,Jul,7/1/15,2015,60
7,Jun,6/1/15,2015,27
8,Mar,3/1/15,2015,14
9,May,5/1/15,2015,12
10,Nov,11/1/15,2015,16
11,Oct,10/1/15,2015,26
12,Sep,9/1/15,2015,30
13,Apr,4/1/16,2016,16
14,Aug,8/1/16,2016,43
15,Dec,12/1/17,2016,27
16,Feb,2/1/16,2016,14
17,Jan,1/1/16,2016,10
18,Jul,7/1/16,2016,41
19,Jun,6/1/16,2016,26
20,Mar,3/1/16,2016,8
21,May,5/1/16,2016,12
22,Nov,11/1/16,2016,29
23,Oct,10/1/16,2016,13
24,Sep,9/1/16,2016,27
25,Apr,4/1/17,2017,21
26,Aug,8/1/17,2017,46
27,Dec,12/1/17,2017,24
28,Feb,2/1/17,2017,13
29,Jan,1/1/17,2017,13
30,Jul,7/1/17,2017,79
31,Jun,6/1/17,2017,58
32,Mar,3/1/17,2017,27
33,May,5/1/17,2017,24
34,Nov,11/1/17,2017,35
35,Oct,10/1/17,2017,38
36,Sep,9/1/17,2017,35
37,Apr,4/1/18,2018,28
38,Aug,8/1/18,2018,70
39,Dec,12/1/18,2018,23
40,Feb,2/1/18,2018,21
41,Jan,1/1/18,2018,26
42,Jul,7/1/18,2018,107
43,Jun,6/1/18,2018,68
44,Mar,3/1/18,2018,23
45,May,5/1/18,2018,36
46,Nov,11/1/18,2018,28
47,Oct,10/1/18,2018,26
48,Sep,9/1/18,2018,29
49,Apr,4/1/19,2019,17
50,Aug,8/1/19,2019,95
51,Dec,12/1/19,2019,19
52,Feb,2/1/19,2019,17
53,Jan,1/1/19,2019,18
54,Jul,7/1/19,2019,85
55,Jun,6/1/19,2019,40
56,Mar,3/1/19,2019,23
57,May,5/1/19,2019,24
58,Nov,11/1/19,2019,32
59,Oct,10/1/19,2019,32
60,Sep,9/1/19,2019,53
61,Apr,4/1/20,2020,18
62,Aug,8/1/20,2020,78
63,Dec,12/1/20,2020,27
64,Feb,2/1/20,2020,13
65,Jan,1/1/20,2020,19
66,Jul,7/1/20,2020,113
67,Jun,6/1/20,2020,43
68,Mar,3/1/20,2020,11
69,May,5/1/20,2020,12
70,Nov,11/1/20,2020,29
71,Oct,10/1/20,2020,34
72,Sep,9/1/20,2020,46
73,Apr,4/1/21,2021,21
74,Aug,8/1/21,2021,79
75,Dec,12/1/21,2021,28
76,Feb,2/1/21,2021,16
77,Jan,1/1/21,2021,18
78,Jul,7/1/21,2021,126
79,Jun,6/1/21,2021,54
80,Mar,3/1/21,2021,19
81,May,5/1/21,2021,33
82,Nov,11/1/21,2021,33
83,Oct,10/1/21,2021,48
84,Sep,9/1/21,2021,42
85,Apr,4/1/22,2022,25
86,Aug,8/1/22,2022,74
87,Dec,12/1/22,2022,20
88,Feb,2/1/22,2022,14
89,Jan,1/1/22,2022,23
90,Jul,7/1/22,2022,130
91,Jun,6/1/22,2022,65
92,Mar,3/1/22,2022,30
93,May,5/1/22,2022,25
94,Nov,11/1/22,2022,39
95,Oct,10/1/22,2022,41
96,Sep,9/1/22,2022,44