ID,Var1,Month,Var2,Freq
1,Oct,10/1/15,2015,26
2,Nov,11/1/15,2015,16
3,Dec,12/1/15,2015,24
4,Jan,1/1/16,2016,10
5,Feb,2/1/16,2016,14
6,Mar,3/1/16,2016,8
7,Apr,4/1/16,2016,16
8,May,5/1/16,2016,12
9,Jun,6/1/16,2016,26
10,Jul,7/1/16,2016,41
11,Aug,8/1/16,2016,43
12,Sep,9/1/16,2016,27
13,Oct,10/1/16,2016,13
14,Nov,11/1/16,2016,29
15,Dec,12/1/16,2016,27
16,Jan,1/1/17,2017,13
17,Feb,2/1/17,2017,13
18,Mar,3/1/17,2017,27
19,Apr,4/1/17,2017,21
20,May,5/1/17,2017,24
21,Jun,6/1/17,2017,58
22,Jul,7/1/17,2017,79
23,Aug,8/1/17,2017,46
24,Sep,9/1/17,2017,35
25,Oct,10/1/17,2017,38
26,Nov,11/1/17,2017,35
27,Dec,12/1/17,2017,24
28,Jan,1/1/18,2018,26
29,Feb,2/1/18,2018,21
30,Mar,3/1/18,2018,23
31,Apr,4/1/18,2018,28
32,May,5/1/18,2018,36
33,Jun,6/1/18,2018,68
34,Jul,7/1/18,2018,107
35,Aug,8/1/18,2018,70
36,Sep,9/1/18,2018,29
37,Oct,10/1/18,2018,26
38,Nov,11/1/18,2018,28
39,Dec,12/1/18,2018,23
40,Jan,1/1/19,2019,18
41,Feb,2/1/19,2019,17
42,Mar,3/1/19,2019,23
43,Apr,4/1/19,2019,17
44,May,5/1/19,2019,24
45,Jun,6/1/19,2019,40
46,Jul,7/1/19,2019,85
47,Aug,8/1/19,2019,95
48,Sep,9/1/19,2019,53
49,Oct,10/1/19,2019,32
50,Nov,11/1/19,2019,32
51,Dec,12/1/19,2019,19
52,Jan,1/1/20,2020,19
53,Feb,2/1/20,2020,13
54,Mar,3/1/20,2020,11
55,Apr,4/1/20,2020,18
56,May,5/1/20,2020,12
57,Jun,6/1/20,2020,43
58,Jul,7/1/20,2020,113
59,Aug,8/1/20,2020,78
60,Sep,9/1/20,2020,46
61,Oct,10/1/20,2020,34
62,Nov,11/1/20,2020,29
63,Dec,12/1/20,2020,27
64,Jan,1/1/21,2021,18
65,Feb,2/1/21,2021,16
66,Mar,3/1/21,2021,19
67,Apr,4/1/21,2021,21
68,May,5/1/21,2021,33
69,Jun,6/1/21,2021,54
70,Jul,7/1/21,2021,126
71,Aug,8/1/21,2021,79
72,Sep,9/1/21,2021,42
73,Oct,10/1/21,2021,48
74,Nov,11/1/21,2021,33
75,Dec,12/1/21,2021,28
76,Jan,1/1/22,2022,23
77,Feb,2/1/22,2022,14
78,Mar,3/1/22,2022,30
79,Apr,4/1/22,2022,25
80,May,5/1/22,2022,25
81,Jun,6/1/22,2022,65
82,Jul,7/1/22,2022,130
83,Aug,8/1/22,2022,74
84,Sep,9/1/22,2022,44
85,Oct,10/1/22,2022,41
86,Nov,11/1/22,2022,39
87,Dec,12/1/22,2022,20